date,/g/11j8_9sv06_0,/g/11j8_9sv06_1,/g/11j8_9sv06_2,/g/11j8_9sv06_3,/g/11j8_9sv06_4,/g/11j8_9sv06_5,/g/11j8_9sv06_6,/g/11j8_9sv06_7,/g/11j8_9sv06_8,/g/11j8_9sv06_9,/g/11j8_9sv06
2020-07-19,15.0,13.0,0.0,14.0,26.0,0.0,14.0,32.0,23.0,32.0,17.35112936344969
2020-07-20,19.0,21.0,57.0,24.0,29.0,25.0,35.0,54.0,39.0,54.0,36.65297741273101
2020-07-21,31.0,21.0,11.0,24.0,7.0,24.0,11.0,13.0,19.0,13.0,17.86447638603696
2020-07-22,19.0,31.0,56.0,60.0,28.0,61.0,0.0,27.0,10.0,27.0,32.75154004106776
2020-07-23,6.0,0.0,0.0,12.0,7.0,25.0,0.0,13.0,19.0,0.0,8.418891170431209
2020-07-24,13.0,11.0,12.0,24.0,7.0,37.0,12.0,0.0,10.0,54.0,18.480492813141684
2020-07-25,0.0,12.0,13.0,28.0,16.0,29.0,13.0,0.0,22.0,30.0,16.73511293634497
2020-07-26,14.0,24.0,38.0,13.0,0.0,28.0,39.0,0.0,11.0,0.0,17.145790554414784
2020-07-27,0.0,0.0,0.0,0.0,14.0,0.0,11.0,0.0,10.0,0.0,3.5934291581108826
2020-07-28,13.0,31.0,11.0,12.0,7.0,24.0,0.0,27.0,10.0,13.0,15.195071868583161
2020-07-29,19.0,42.0,45.0,24.0,14.0,49.0,45.0,13.0,29.0,27.0,31.519507186858313
2020-07-30,6.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,14.0,4.414784394250513
2020-07-31,7.0,22.0,35.0,37.0,22.0,26.0,24.0,28.0,20.0,14.0,24.12731006160164
2020-08-01,21.0,23.0,25.0,66.0,32.0,41.0,26.0,30.0,22.0,29.0,32.340862422997944
2020-08-02,20.0,11.0,37.0,13.0,39.0,13.0,25.0,29.0,31.0,14.0,23.819301848049278
2020-08-03,17.0,19.0,21.0,11.0,7.0,11.0,11.0,12.0,0.0,0.0,11.190965092402463
2020-08-04,29.0,10.0,41.0,33.0,13.0,11.0,31.0,36.0,35.0,49.0,29.56878850102669
2020-08-05,0.0,10.0,22.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,5.236139630390142
2020-08-06,25.0,41.0,33.0,36.0,21.0,48.0,34.0,0.0,38.0,39.0,32.340862422997944
2020-08-07,6.0,10.0,11.0,0.0,21.0,12.0,22.0,26.0,29.0,13.0,15.40041067761807
2020-08-08,14.0,0.0,24.0,13.0,23.0,40.0,61.0,44.0,52.0,14.0,29.26078028747433
2020-08-09,40.0,79.0,73.0,64.0,23.0,39.0,74.0,43.0,52.0,71.0,57.289527720739216
2020-08-10,12.0,29.0,11.0,0.0,13.0,46.0,11.0,0.0,54.0,25.0,20.636550308008214
2020-08-11,100.0,100.0,96.0,90.0,100.0,92.0,96.0,100.0,100.0,100.0,100.0
2020-08-12,23.0,39.0,72.0,66.0,33.0,79.0,42.0,74.0,45.0,24.0,51.02669404517454
2020-08-13,0.0,10.0,32.0,22.0,27.0,46.0,33.0,13.0,18.0,13.0,21.97125256673511
2020-08-14,24.0,41.0,33.0,45.0,14.0,35.0,33.0,38.0,37.0,77.0,38.706365503080086
2020-08-15,13.0,11.0,23.0,49.0,30.0,13.0,48.0,41.0,10.0,41.0,28.644763860369608
2020-08-16,21.0,23.0,73.0,51.0,23.0,66.0,61.0,43.0,42.0,57.0,47.227926078028744
2020-08-17,25.0,31.0,100.0,35.0,7.0,61.0,23.0,52.0,28.0,26.0,39.835728952772065
2020-08-18,6.0,0.0,11.0,45.0,20.0,12.0,43.0,13.0,46.0,38.0,24.024640657084188
2020-08-19,6.0,21.0,22.0,47.0,36.0,24.0,46.0,67.0,29.0,39.0,34.59958932238193
2020-08-20,6.0,0.0,23.0,0.0,0.0,12.0,12.0,13.0,0.0,0.0,6.776180698151951
2020-08-21,6.0,11.0,11.0,36.0,7.0,12.0,23.0,13.0,19.0,13.0,15.503080082135522
2020-08-22,14.0,35.0,0.0,26.0,16.0,27.0,25.0,0.0,0.0,29.0,17.659137577002053
2020-08-23,20.0,22.0,59.0,49.0,30.0,38.0,48.0,56.0,20.0,27.0,37.88501026694045
2020-08-24,0.0,29.0,32.0,11.0,7.0,23.0,0.0,25.0,18.0,37.0,18.68583162217659
2020-08-25,0.0,20.0,11.0,11.0,7.0,12.0,33.0,13.0,37.0,26.0,17.453798767967143
